,0
2007-01-04,1.5734205547884368
2007-01-05,2.8553668588681598
2007-01-08,2.8890592681608975
2007-01-09,2.8589139384063773
2007-01-10,2.8545251318794573
2007-01-11,2.857810758185615
2007-01-12,2.8921247113087913
2007-01-16,2.876348702977491
2007-01-17,2.854907042287644
2007-01-18,2.855024097290215
2007-01-19,2.8625655353591886
2007-01-22,2.8621525190999093
2007-01-23,2.8803792256733725
2007-01-24,2.866020379445196
2007-01-25,2.92218536098242
2007-01-26,2.9736274459449628
2007-01-29,2.8556742993899458
2007-01-30,2.8554039999865948
2007-01-31,2.8855784161669895
2007-02-01,2.895121320603393
2007-02-02,2.881214957759572
2007-02-05,2.8569775031816214
2007-02-06,2.8551516631001204
2007-02-07,2.854731114544291
2007-02-08,2.856101784950654
2007-02-09,2.855580309287624
2007-02-12,2.9013350503490667
2007-02-13,2.864278884834444
2007-02-14,2.908510838772465
2007-02-15,2.9091889888291003
2007-02-16,2.8552985580205634
2007-02-20,2.854987449658548
2007-02-21,2.861874711330735
2007-02-22,2.856128289472256
2007-02-23,2.854964567892183
2007-02-26,2.8662056782399308
2007-02-27,2.855737806949442
2007-02-28,3.987727614854155
2007-03-01,2.8836160267462794
2007-03-02,2.86060539136803
2007-03-05,2.9764438346040816
2007-03-06,2.937461939689168
2007-03-07,3.079844783999896
2007-03-08,2.8600403979267024
2007-03-09,2.9019951466204854
2007-03-12,2.8547257933278223
2007-03-13,2.860987242175657
2007-03-14,3.2440822148276083
2007-03-15,2.896438227283827
2007-03-16,2.8670341957361947
2007-03-19,2.8680466388728765
2007-03-20,2.9657957282127505
2007-03-21,2.891992062116621
2007-03-22,3.128414218738228
2007-03-23,2.8544564908942878
2007-03-26,2.8553985856687945
2007-03-27,2.855153630365839
2007-03-28,2.890209349485824
2007-03-29,2.913903194571554
2007-03-30,2.8674287288574125
2007-04-02,2.855571389137662
2007-04-03,2.86061056798127
2007-04-04,2.9351935435087775
2007-04-05,2.8554571729790856
2007-04-09,2.8630137122537
2007-04-10,2.8546010046118626
2007-04-11,2.860706359567005
2007-04-12,2.8948671596017572
2007-04-13,2.890474485002416
2007-04-16,2.865713885306375
2007-04-17,2.962884193766829
2007-04-18,2.8582482820807837
2007-04-19,2.8547255956488593
2007-04-20,2.855630849290769
2007-04-23,2.9348540349258863
2007-04-24,2.8592814332947265
2007-04-25,2.854390227529182
2007-04-26,2.9508647584295113
2007-04-27,2.8548726947949086
2007-04-30,2.8542869017935857
2007-05-01,2.911892937834921
2007-05-02,2.86089178767375
2007-05-03,2.893636978119574
2007-05-04,2.871859627757621
2007-05-07,2.858620480993914
2007-05-08,2.8604499108486916
2007-05-09,2.8555520354067987
2007-05-10,2.8640362122381218
2007-05-11,3.037288530891439
2007-05-14,2.941662925120401
2007-05-15,2.8573159000065567
2007-05-16,2.855871416915362
2007-05-17,2.9241949440268598
2007-05-18,2.8550826375951655
2007-05-21,2.8953322601785056
2007-05-22,2.8565212928122277
2007-05-23,2.8546616535405462
2007-05-24,2.8556426424418664
2007-05-25,2.9427267460560738
2007-05-29,2.8822315474478053
2007-05-30,2.856596790790562
2007-05-31,2.914161841405073
2007-06-01,2.854349289080871
2007-06-04,2.867395114115979
2007-06-05,2.8574871652546476
2007-06-06,2.8811374472230225
2007-06-07,2.928100875676237
2007-06-08,3.1443422915350387
2007-06-11,2.975822122616917
2007-06-12,2.8551729377648765
2007-06-13,2.9614806978977053
2007-06-14,3.0709336522230495
2007-06-15,2.8761239765636737
2007-06-18,2.8943037125450224
2007-06-19,2.855666594545377
2007-06-20,2.8571096008867616
2007-06-21,3.0282542846511307
2007-06-22,2.8902075835028223
2007-06-25,3.0105411591705082
2007-06-26,2.863981422124768
2007-06-27,2.864128211533027
2007-06-28,2.930655062539494
2007-06-29,2.8544620364675306
2007-07-02,2.856581416334855
2007-07-03,2.961770104104422
2007-07-05,2.8663445075313594
2007-07-06,2.854389676055911
2007-07-09,2.8645305062067155
2007-07-10,2.8550732401580916
2007-07-11,3.043346104829321
2007-07-12,2.8850781056496464
2007-07-13,3.1954430262306577
2007-07-16,2.8633969272686124
2007-07-17,2.8577372972560884
2007-07-18,2.854282796513085
2007-07-19,2.8582811551496876
2007-07-20,2.873040645478047
2007-07-23,2.994606662329758
2007-07-24,2.8765865811131173
2007-07-25,3.2228056310337503
2007-07-26,2.8748198244490255
2007-07-27,3.3657765337125563
2007-07-30,3.0948843528092556
2007-07-31,2.953126550520668
2007-08-01,3.004413710843128
2007-08-02,2.903504343108182
2007-08-03,2.8721417366211455
2007-08-06,3.518403002952215
2007-08-07,3.4024863847138955
2007-08-08,2.89005864358335
2007-08-09,3.0403377474502196
2007-08-10,3.6803203208001283
2007-08-13,2.8546165728471657
2007-08-14,2.8545037143806575
2007-08-15,3.164020975875032
2007-08-16,3.036094340027739
2007-08-17,2.864235882961603
2007-08-20,3.42133629424688
2007-08-21,2.8544848386341592
2007-08-22,2.8553815145932813
2007-08-23,2.983179169145859
2007-08-24,2.8553861887196432
2007-08-27,2.9792936780068007
2007-08-28,2.922248506725163
2007-08-29,3.371992750416491
