stock,cluster_id,anomaly_score,sector_id,x,y
QCOM UW Equity,0,0.1851597365812766,7,6.737145902409561,-3.6391683013277385
MAS UN Equity,1,0.146416461144,6,-3.377959151765044,-3.723820730061392
ALGN UW Equity,0,0.19234214639804256,5,7.2400140846598475,-3.87348571780099
FOX UW Equity,2,0.2455789612782979,0,17.496420115434887,-3.7138487738124106
LDOS UN Equity,0,0.17138026111319152,6,6.953656521021394,-3.7509493408522028
GDDY UN Equity,1,0.14555014003404254,7,-3.582676391175246,-3.981645511096206
CAH UN Equity,0,0.17066558627489364,5,6.704090522958764,-3.7653640358894065
EW UN Equity,1,0.1440516036110638,5,-3.5190244613434634,-3.4556861701205506
ANET UN Equity,1,0.1453245848647149,7,-3.25429510496923,-3.329807274510444
KHC UW Equity,0,0.2013985533251064,2,6.903404406381888,-3.6149441111446374
TRMB UW Equity,0,0.1561706273906383,7,6.217932429200555,-3.3223017201020344
AOS UN Equity,1,0.12900277126678297,6,-3.670849298941234,-3.974356735307789
HBAN UW Equity,1,0.13591203324510637,4,-3.435568003317476,-3.7337922993959918
CLX UN Equity,0,0.2186711629888511,2,7.2252858900646295,-3.6263603957911195
T UN Equity,2,0.27755951322468086,0,17.90678947809346,-3.588256914485632
MCK UN Equity,0,0.1675639874706383,5,7.1431063609043015,-3.462856361283434
MSI UN Equity,0,0.1584855452561702,7,6.751704455560925,-4.111218521946498
VRSK UW Equity,1,0.14163232517702126,6,-3.6272784436683323,-3.2979368064246732
EMR UN Equity,0,0.14962531763821277,6,6.511212834550989,-3.585689534257364
CNP UN Equity,0,0.16549963043148935,10,6.8285286327776955,-3.7591519384341447
GNRC UN Equity,1,0.14296706773372767,6,-3.504294117619376,-3.330607039838473
OKE UN Equity,0,0.19978781640085108,3,6.878034166138297,-3.8278820730529266
TPL UN Equity,0,0.19216893931914897,3,6.989050985342464,-3.7175513367653
DPZ UW Equity,2,0.24083565773391916,1,17.577091235813022,-3.24432106825258
ECL UN Equity,0,0.1619258577625532,8,6.736853036292488,-3.5563785422944085
COF UN Equity,0,0.161534136266383,4,6.704978810004737,-3.2187064836162946
MOH UN Equity,0,0.1563448755822851,5,6.783028664410747,-3.7541147357262816
GOOGL UW Equity,3,0.30388365221446806,0,-1.7471319490060704,-13.722594979522707
DTE UN Equity,0,0.17041686340948933,10,6.861145733660668,-3.3896931202288787
ADP UW Equity,0,0.1563909449080851,6,6.765131489425007,-3.4932277887969705
VMC UN Equity,0,0.1612321982119149,8,6.6115259636307435,-3.428938141140159
GWW UN Equity,1,0.14159549171106384,6,-3.630118745643588,-3.177396165664732
CCI UN Equity,0,0.15886506460085106,9,6.825055865027538,-3.0711648483096106
STE UN Equity,0,0.16320127245642554,5,6.979417767764343,-3.1621598824708728
KDP UW Equity,0,0.2211105377531915,2,7.186430636361969,-2.937173651947261
EQT UN Equity,2,0.23496995592340425,3,17.32361935147437,-3.174235856645248
NXPI UW Equity,0,0.16746716758723407,7,6.645891829743132,-3.2849840357065148
BXP UN Equity,1,0.13182767191914893,9,-3.639148167722219,-3.308106342718137
DOW UN Equity,0,0.1677095456641702,8,6.981912040487488,-3.395177705897808
