number,value,params_dropout,params_encoder_channels,params_gat_num_heads,params_gat_out_features,params_hidden_dim,params_lr,params_num_diffusion_steps,params_patience,params_weight_decay
27,0.551314899170538,0.35447288798649945,"[16,8,4]",1,8,16,0.0002746636973525776,3,5,2.495850438105271e-06
20,0.5488680178971288,0.16650649180127597,"[16,8,4]",4,16,64,0.0006057537535867732,3,4,0.000317568044853167
11,0.5467296424147153,0.37487743864935724,"[16,8,4]",2,16,32,0.00010981684015202463,4,3,0.0004963156789297614
14,0.5463059759295223,0.31611658810615906,"[32,16]",2,32,32,0.00036090228365779926,4,4,8.216553257798055e-06
32,0.5461070128988397,0.35192096617266894,"[64,32]",2,4,32,0.0001649696517199387,2,6,0.00019925091262386137
21,0.5435057168841881,0.3084751046800389,"[16,8,4]",1,16,16,0.0002424199582440821,4,7,2.087709366082563e-05
30,0.543197364002669,0.39363071842736086,"[32,16]",1,32,16,0.00023531147468585945,3,3,1.9886270629550983e-06
42,0.5411516198896322,0.2509457519555435,"[16,8]",4,4,32,0.00016778408991650074,3,9,1.6503609185453003e-06
38,0.5399133053311201,0.37633315917731514,"[16,8,4]",1,8,16,0.0002931830490600417,3,4,9.5393281572034e-05
10,0.5371654485619749,0.02766679818205522,"[64,32]",1,32,16,0.0069018454085371375,2,5,0.00013890692540260633
37,0.5367693931594004,0.33975011650315085,"[16,8]",1,8,16,0.0008853517464211583,3,3,3.708433586899785e-05
6,0.5364433742687491,0.01567511690172827,"[16,8,4]",2,16,32,0.00018895826938026032,3,8,3.888186473153664e-06
8,0.5333500096011264,0.2325091490543435,"[16,8]",1,4,64,0.0014200860749035516,4,7,5.9720824347773275e-05
45,0.5326758198041014,0.25795332545972416,"[16,8,4]",1,8,16,0.001917748978394751,3,3,1.9409388446477654e-05
18,0.5313525332509004,0.1650797952481662,"[32,16,8]",2,32,32,0.0006222766364808513,4,5,1.217370100496913e-06
31,0.529974153611891,0.2826765620260092,"[32,16,8]",4,8,64,0.00013325112575162756,3,9,5.198599758841889e-06
15,0.5298068984462951,0.31320767137402344,"[16,8,4]",2,16,64,0.0004422333512510618,3,4,0.0009215082688708417
13,0.5297570777586709,0.3911042511417574,"[16,8,4]",2,16,32,0.00032557692781650727,4,3,0.0005483019080353505
3,0.5269354411741834,0.22721782443757294,"[64,32]",4,4,16,0.0012520653814999472,3,10,0.0001398196140899405
33,0.526692898942691,0.27057934212804535,"[16,8,4]",4,16,16,0.00048720821934106104,3,5,1.1871776295896276e-05
29,0.5262313347373679,0.3551762890868488,"[8,4]",1,4,16,0.0006500663278998852,2,4,4.684902817735173e-05
28,0.5256490097764998,0.2781039960569962,"[16,8,4]",2,8,32,0.00014705318609472325,3,3,1.1695538355518687e-05
44,0.5215933539997044,0.33351329397759977,"[8,4]",2,16,64,0.00012074857013497369,4,6,7.03674930363027e-06
47,0.5213094626627547,0.2903375708423599,"[16,8,4]",1,8,16,0.00356692774668329,3,3,2.794064784168633e-06
41,0.5199955850069533,0.30003210328405683,"[16,8,4]",1,8,16,0.00972385413047191,1,10,1.0117755180744647e-06
4,0.5185479592192889,0.2273735795474594,"[16,8]",1,8,16,0.00396567508177101,2,6,2.423472448467594e-05
19,0.512719304161319,0.11181228347772021,"[8,4]",1,8,16,0.00017334061001477943,4,3,3.2252503288949357e-06
7,0.50979197138348,0.23460517392403327,"[8,4]",4,8,64,0.0013589482177682008,1,4,6.254152586876399e-06
5,0.4920924711043586,0.08355070243793389,"[32,16,8]",1,8,32,0.00248463381689824,1,8,1.5159204611384704e-06
1,0.0,0.2273735795474594,"[16,8]",1,8,16,0.00396567508177101,2,6,2.423472448467594e-05
0,0.0,0.22721782443757294,"[64,32]",4,4,16,0.0012520653814999472,3,10,0.0001398196140899405
2,,0.08355070243793389,"[32,16,8]",1,8,32,0.00248463381689824,1,8,1.5159204611384704e-06
23,,0.3582590368654905,"[16,8,4]",1,8,16,0.00010395996330149211,3,3,2.1324036596214816e-06
24,,0.3493470796057645,"[16,8,4]",1,8,16,0.00010981684015202463,3,3,2.610062244740269e-06
39,,0.29485275010934187,"[64,32]",1,8,16,0.00020512783112359832,4,10,1.0906647845454248e-06
51,,0.37007227829137573,"[32,16]",2,8,16,0.00010057040340760251,2,4,9.610937196284543e-06
